type,artist,frequency
경직도,김홍도,1
고사인물화,강세황,1
고사인물화,김수철,1
고사인물화,김홍도,6
고사인물화,심사정,2
고사인물화,안중식,2
고사인물화,유숙,2
고사인물화,윤덕희,1
고사인물화,윤두서,1
고사인물화,이방운,2
고사인물화,장승업,2
고사인물화,전기,2
고사인물화,정선,2
고사인물화,조석진,4
고사인물화,조속,1
고사인물화,조희룡,1
괴석도,강세황,2
괴석도,김홍도,4
괴석도,남계우,1
괴석도,심사정,3
괴석도,장승업,1
괴석도,최북,2
괴석도,허련,4
괴석도,허형,1
기명절지화,장승업,3
기명절지화,조석진,2
노송도,강세황,1
노송도,전기,1
노송도,정선,2
노송도,허련,1
도석인물화,강세황,1
도석인물화,김정희,1
도석인물화,김홍도,18
도석인물화,백은배,5
도석인물화,신윤복,1
도석인물화,심사정,9
도석인물화,안중식,9
도석인물화,유숙,1
도석인물화,윤덕희,1
도석인물화,윤두서,1
도석인물화,이명기,1
도석인물화,이인상,1
도석인물화,이재관,2
도석인물화,장승업,3
도석인물화,정선,1
도석인물화,조석진,1
모란도,강세황,1
모란도,김수철,1
모란도,남계우,4
모란도,심사정,2
모란도,허련,4
모란도,허형,1
사군자화,강세황,3
사군자화,김수철,2
사군자화,김유성,2
사군자화,김정희,8
사군자화,신명연,2
사군자화,신위,5
사군자화,심사정,2
사군자화,이인상,1
사군자화,조석진,1
사군자화,조희룡,11
사군자화,최북,1
사군자화,최석환,1
사군자화,한용간,1
사군자화,허련,2
사군자화,허목,1
사군자화,허형,1
산수인물화,강세황,2
산수인물화,김석신,1
산수인물화,김수철,6
산수인물화,김유성,1
산수인물화,김홍도,4
산수인물화,백은배,1
산수인물화,신윤복,4
산수인물화,심사정,11
산수인물화,안중식,7
산수인물화,유숙,1
산수인물화,윤덕희,1
산수인물화,윤두서,1
산수인물화,윤제홍,1
산수인물화,이명기,1
산수인물화,이방운,2
산수인물화,이윤영,1
산수인물화,이인문,7
산수인물화,이인상,4
산수인물화,이재관,2
산수인물화,장승업,1
산수인물화,전기,1
산수인물화,정선,17
산수인물화,조석진,2
산수인물화,조영석,4
산수인물화,조중묵,1
산수인물화,조희룡,1
산수인물화,최북,3
산수인물화,허련,3
산수인물화,허백련,1
산수인물화,허필,2
산수인물화,허형,1
산수화,강세황,7
산수화,김수철,4
산수화,김응환,1
산수화,김정희,4
산수화,김홍도,14
산수화,신명연,3
산수화,신위,1
산수화,신익성,1
산수화,심사정,6
산수화,안중식,2
산수화,유재소,3
산수화,윤덕희,1
산수화,윤제홍,1
산수화,이명기,1
산수화,이방운,2
산수화,이유신,2
산수화,이인문,8
산수화,이인상,9
산수화,이재관,1
산수화,장승업,2
산수화,전기,4
산수화,정선,14
산수화,정수영,1
산수화,조석진,1
산수화,조희룡,1
산수화,최북,8
산수화,최석환,1
산수화,허련,15
산수화,허백련,4
실경산수화,정선,1
어해도,신윤복,1
어해도,안중식,1
어해도,장승업,2
어해도,조석진,5
어해화,김홍도,1
어해화,장승업,1
어해화,전기,1
어해화,한용간,1
영모화,김응환,1
영모화,김홍도,3
영모화,백은배,2
영모화,신윤복,2
영모화,심사정,4
영모화,안중식,1
영모화,유숙,2
영모화,이우,1
영모화,장승업,7
영모화,전기,1
영모화,정선,1
영모화,정조,1
영모화,정홍래,3
영모화,조석진,4
영모화,조속,1
영모화,최북,2
영모화,한용간,1
진경산수화,강세황,3
진경산수화,김홍도,1
진경산수화,심사정,1
진경산수화,유숙,1
진경산수화,윤제홍,1
진경산수화,이인문,1
진경산수화,정선,29
진경산수화,허필,1
청록산수화,안중식,1
청록산수화,정선,2
초상화,김홍도,2
초상화,안중식,1
초상화,이명기,5
초상화,이재관,1
초상화,장승업,1
초상화,허련,1
초충도,강세황,1
초충도,남계우,6
초충도,백은배,1
초충도,신명연,1
초충도,심사정,5
초충도,이우,1
초충도,이인상,2
초충도,장승업,1
초충도,전기,1
초충도,조희룡,1
풍속화,김득신,2
풍속화,김홍도,38
풍속화,신윤복,7
풍속화,심사정,1
풍속화,윤덕희,1
풍속화,장승업,1
풍속화,조석진,1
풍속화,조영석,1
풍속화,최북,1
화조화,김홍도,8
화조화,백은배,1
화조화,신명연,1
화조화,심사정,2
화조화,안중식,10
화조화,유숙,3
화조화,이인상,1
화조화,장승업,7
화조화,전기,1
화조화,정홍래,1
화조화,조석진,3
화조화,조속,4
화조화,조희룡,1
화조화,한용간,1
화훼화,강세황,4
화훼화,김수철,3
화훼화,남계우,3
화훼화,신명연,1
화훼화,심사정,4
화훼화,유숙,1
화훼화,이우,1
화훼화,이인상,2
화훼화,전기,1
화훼화,조석진,1
화훼화,최북,1
화훼화,최석환,3
화훼화,허형,1
